epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1431,1.46878,3.15229,1.27885,0.91132,0.56164,0.89769,0.44625,1.42873,3.40804,1.18137,0.000657277,0.000657277,0.000657277
2,22.1882,1.48176,2.17346,1.22498,0.87241,0.87671,0.92021,0.4498,1.50899,2.38549,1.28744,0.00129773,0.00129773,0.00129773
3,31.935,1.48442,2.10187,1.30855,0.92265,0.81707,0.92352,0.51534,1.43607,2.32749,1.3883,0.00191178,0.00191178,0.00191178
4,41.8559,1.54102,1.9147,1.40868,0.82991,0.86301,0.9188,0.54598,1.39997,1.81929,1.37789,0.0018812,0.0018812,0.0018812
5,51.4912,1.4461,1.82374,1.30081,0.87311,0.9589,0.96266,0.55827,1.36965,1.73056,1.25742,0.0018416,0.0018416,0.0018416
6,61.1478,1.45445,1.62338,1.32375,0.95106,0.93151,0.98374,0.54272,1.39536,1.64881,1.30943,0.001802,0.001802,0.001802
7,71.4029,1.42847,1.47098,1.26492,0.93777,0.94521,0.98092,0.57502,1.34404,1.54408,1.25752,0.0017624,0.0017624,0.0017624
8,81.1988,1.42319,1.38049,1.26655,0.94652,0.93151,0.97536,0.52752,1.43383,1.47909,1.26073,0.0017228,0.0017228,0.0017228
9,90.8224,1.41507,1.33518,1.23996,0.97344,0.9726,0.99322,0.62126,1.26026,1.21687,1.14156,0.0016832,0.0016832,0.0016832
10,100.634,1.32183,1.17108,1.17984,0.97041,0.9726,0.98719,0.59563,1.28533,1.17758,1.15379,0.0016436,0.0016436,0.0016436
11,110.395,1.4133,1.15304,1.23349,0.99972,0.9863,0.98515,0.58489,1.3501,1.05404,1.20319,0.001604,0.001604,0.001604
12,120.258,1.32844,1.06371,1.19483,0.99629,1,0.995,0.573,1.38002,1.01476,1.22388,0.0015644,0.0015644,0.0015644
13,129.716,1.34268,1.03234,1.216,0.99856,0.9726,0.98313,0.61057,1.27064,0.97666,1.19354,0.0015248,0.0015248,0.0015248
14,139.353,1.34064,0.99487,1.19581,0.95544,1,0.99352,0.62596,1.26068,0.94515,1.17084,0.0014852,0.0014852,0.0014852
15,149.031,1.30359,0.92516,1.17293,0.97329,0.99846,0.98516,0.58804,1.33365,0.88575,1.1998,0.0014456,0.0014456,0.0014456
16,158.909,1.3311,0.96668,1.15929,0.99652,0.9863,0.99473,0.59459,1.37539,0.84793,1.21177,0.001406,0.001406,0.001406
17,168.576,1.28148,0.8942,1.20473,0.98376,1,0.99419,0.62515,1.28154,0.82201,1.17992,0.0013664,0.0013664,0.0013664
18,178.491,1.33201,0.90904,1.17742,0.99965,1,0.995,0.61102,1.29864,0.80071,1.17642,0.0013268,0.0013268,0.0013268
19,188.192,1.38027,0.87441,1.19847,0.99776,0.9726,0.99447,0.63359,1.2829,0.8217,1.17427,0.0012872,0.0012872,0.0012872
20,197.873,1.27963,0.90959,1.16514,0.99978,1,0.995,0.65303,1.25203,0.73361,1.13961,0.0012476,0.0012476,0.0012476
21,207.4,1.28531,0.81191,1.14799,0.99772,0.9863,0.99436,0.64659,1.25547,0.72586,1.15986,0.001208,0.001208,0.001208
22,217.066,1.27851,0.81682,1.16244,0.99827,1,0.995,0.63757,1.28667,0.71087,1.1684,0.0011684,0.0011684,0.0011684
23,226.83,1.28023,0.79435,1.14254,1,0.98554,0.99436,0.64291,1.28109,0.71404,1.15395,0.0011288,0.0011288,0.0011288
24,236.545,1.2275,0.79547,1.14201,0.98312,1,0.99486,0.66775,1.26534,0.70093,1.14803,0.0010892,0.0010892,0.0010892
25,246.141,1.20475,0.75839,1.10395,0.99857,0.9863,0.99461,0.65357,1.28571,0.69182,1.16601,0.0010496,0.0010496,0.0010496
26,255.823,1.2007,0.74469,1.13759,0.99779,0.9863,0.99436,0.64845,1.28484,0.66804,1.17196,0.00101,0.00101,0.00101
27,265.456,1.25479,0.75474,1.13921,1,0.9798,0.99424,0.62337,1.30337,0.68553,1.15111,0.0009704,0.0009704,0.0009704
28,275.06,1.25798,0.71667,1.14957,0.98025,1,0.99392,0.61669,1.36249,0.65446,1.15227,0.0009308,0.0009308,0.0009308
29,284.561,1.21385,0.69952,1.11287,1,0.99829,0.995,0.63965,1.28564,0.62843,1.15947,0.0008912,0.0008912,0.0008912
30,294.269,1.19728,0.66901,1.11583,1,0.99894,0.995,0.64778,1.28662,0.60182,1.14258,0.0008516,0.0008516,0.0008516
31,303.925,1.22301,0.73167,1.12656,0.99766,1,0.995,0.6412,1.29549,0.63135,1.13864,0.000812,0.000812,0.000812
32,313.616,1.19561,0.70861,1.08881,0.99764,1,0.995,0.63366,1.32757,0.59051,1.1289,0.0007724,0.0007724,0.0007724
33,323.162,1.19405,0.67499,1.09449,1,0.9959,0.995,0.63275,1.26904,0.60564,1.14306,0.0007328,0.0007328,0.0007328
34,332.961,1.15435,0.69769,1.10608,1,0.98455,0.995,0.66845,1.24021,0.61888,1.11871,0.0006932,0.0006932,0.0006932
35,342.441,1.11136,0.67734,1.09728,0.99868,0.9726,0.99447,0.66285,1.23479,0.61088,1.12092,0.0006536,0.0006536,0.0006536
36,352.163,1.0952,0.64967,1.06394,0.99882,0.9863,0.99461,0.67086,1.22294,0.59124,1.11658,0.000614,0.000614,0.000614
37,361.619,1.14092,0.64707,1.08762,0.99831,0.9863,0.99448,0.65873,1.218,0.58176,1.1296,0.0005744,0.0005744,0.0005744
38,371.275,1.13095,0.64045,1.07138,0.99686,1,0.995,0.64241,1.29927,0.59934,1.14961,0.0005348,0.0005348,0.0005348
39,380.907,1.10504,0.63374,1.0656,1,0.98426,0.99436,0.66272,1.234,0.58041,1.13794,0.0004952,0.0004952,0.0004952
40,390.427,1.1433,0.63868,1.09655,0.9863,0.98591,0.99434,0.63933,1.30774,0.5905,1.15897,0.0004556,0.0004556,0.0004556
41,409.008,1.08331,0.55315,1.07364,1,0.99831,0.995,0.65071,1.26007,0.58238,1.12413,0.000416,0.000416,0.000416
42,418.456,1.03963,0.53942,1.03169,0.99973,1,0.995,0.65652,1.2698,0.57441,1.11998,0.0003764,0.0003764,0.0003764
43,428.024,1.03273,0.53584,1.03962,0.99738,1,0.995,0.64807,1.28195,0.57474,1.13079,0.0003368,0.0003368,0.0003368
44,437.446,1.03564,0.5531,1.05398,0.99761,1,0.995,0.64235,1.28114,0.57524,1.12878,0.0002972,0.0002972,0.0002972
